指数代码,指数简称,指数@收盘价:不复权[20251120],指数@涨跌幅:前复权[20251120],指数@同花顺概念指数,指数@成交额[20251120],指数@成交额[20251119],指数@主力资金流向[20251118],指数@区间dde大单净额[20251118-20251120],market_code,code
885977.TI,国资云,1630.747,-0.2339,同花顺概念指数,26045444000.000,18431170000,88388720,-1486987240,48,885977
885966.TI,跨境支付(CIPS),1830.767,-0.0250,同花顺概念指数,48119099000.000,41534375000,9004900,-851226700,48,885966
885950.TI,虚拟数字人,1516.604,-0.8197,同花顺概念指数,70118518000.000,84050904000,4910336700,-5105540000,48,885950
885947.TI,DRG/DIP,1170.287,-1.4795,同花顺概念指数,10181800300.000,7134031100,295251010,-631923660,48,885947
885945.TI,汽车芯片,1100.818,-1.0269,同花顺概念指数,72965779000.000,80412308000,116596400,-5106484500,48,885945
885940.TI,WiFi6,1795.110,0.2045,同花顺概念指数,21936915000.000,23886150000,1002170300,335115150,48,885940
885934.TI,元宇宙,1941.610,-0.6872,同花顺概念指数,86982241000.000,92288180000,1560491400,-7522906900,48,885934
885933.TI,NFT概念,1918.665,-1.2429,同花顺概念指数,31732746000.000,40812283000,1378363000,-2285940700,48,885933
885923.TI,鸿蒙概念,2002.391,-0.4907,同花顺概念指数,90010761000.000,92716194000,1492526200,-5127725200,48,885923
885918.TI,快手概念,1901.365,-1.2401,同花顺概念指数,28269413000.000,39672055000,3948124100,-812940800,48,885918
885910.TI,拼多多概念,1723.166,-1.8304,同花顺概念指数,13073146700.000,17125126000,634980100,151706520,48,885910
885893.TI,国家大基金持股,1786.544,-1.8118,同花顺概念指数,46553952000.000,48913093000,546515700,-5145045900,48,885893
885890.TI,抖音概念(字节概念),1674.900,-1.1021,同花顺概念指数,105879842000.000,120688900000,3728519600,-10499944400,48,885890
885881.TI,云办公,1912.327,-0.2745,同花顺概念指数,19926133000.000,22643837000,804514900,-632675500,48,885881
885876.TI,网红经济,1577.021,-1.5706,同花顺概念指数,37502294000.000,43997191000,1256347200,-4253458100,48,885876
885874.TI,云游戏,1505.474,-0.5117,同花顺概念指数,11987794600.000,13133117100,46561410,-1567989440,48,885874
885866.TI,数字货币,2355.124,-0.7723,同花顺概念指数,27911064000.000,31355032000,15591100,-3634694810,48,885866
885844.TI,国产操作系统,2036.710,-0.1570,同花顺概念指数,42375207000.000,38400471000,836833400,-4373497900,48,885844
885843.TI,华为海思概念股,3361.575,0.0108,同花顺概念指数,27040739000.000,25177279000,1188533200,-1339183340,48,885843
885797.TI,百度概念,2027.304,-0.6547,同花顺概念指数,110393134000.000,125484455000,3075437000,-7706232300,48,885797
885791.TI,知识产权保护,1877.377,-0.8700,同花顺概念指数,12123214300.000,15714776000,714278340,-473871560,48,885791
885787.TI,独角兽概念,2035.795,-0.3029,同花顺概念指数,55910643000.000,61546077000,3714100,-5635757000,48,885787
885779.TI,腾讯概念,1348.980,-0.8210,同花顺概念指数,135475300000.000,147419560000,3022504000,-12005668000,48,885779
885772.TI,语音技术,2134.056,-0.1252,同花顺概念指数,22512660000.000,19479474000,181472780,-1902006880,48,885772
885757.TI,区块链,1662.380,-0.5363,同花顺概念指数,124319768000.000,136147630000,2170409700,-11131186200,48,885757
885642.TI,跨境电商,1030.041,-1.2764,同花顺概念指数,80648043000.000,92461815000,492584900,-10814495500,48,885642
885611.TI,阿里巴巴概念,2001.209,-0.8736,同花顺概念指数,155421230000.000,171945590000,3452306000,-14259517100,48,885611
885603.TI,网络游戏,1695.199,-0.8971,同花顺概念指数,28815253000.000,30895657000,953653200,-1832535400,48,885603
885586.TI,职业教育,1745.675,-0.7206,同花顺概念指数,36870937000.000,41028244000,539469600,-3930157700,48,885586
885525.TI,白酒概念,7406.194,-1.0707,同花顺概念指数,15356140000.000,14101289000,1650960,-1213165790,48,885525
885480.TI,在线教育,3178.368,-0.5597,同花顺概念指数,54332450000.000,59058139000,2639956200,-4486817400,48,885480
885462.TI,乳业,2250.233,-2.2694,同花顺概念指数,6704101200.000,7021648300,108757200,-132075350,48,885462
885457.TI,手机游戏,3045.395,-0.9430,同花顺概念指数,19028523000.000,22319752000,628385700,-1792853140,48,885457
885418.TI,文化传媒概念,3001.120,-0.9256,同花顺概念指数,59035213000.000,76698837000,3507929600,-4780718700,48,885418
885362.TI,云计算,4143.675,-0.4152,同花顺概念指数,103320943000.000,103724932000,1378705600,-8121474000,48,885362
885333.TI,移动支付,2640.121,-0.6667,同花顺概念指数,24977670000.000,26515152000,314507300,-1872093140,48,885333
